,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
20,eks-anywhere-build-tooling,9,8,948,"['aws', 'ci-cd', 'kubernetes-deployment', 'eks']",,25
21,eks-anywhere-prow-jobs,9,1,184,"['kubernetes', 'cicd', 'prow', 'eks']",,14
22,aws-encryption-sdk-c,9,3,742,[],v1.9.1 -- 2021-10-20,52
23,aws-encryption-sdk-cli,12,11,391,[],4.1.0 -- 2021-11-11,67
24,s2n-quic,27,11,935,"['rust', 'cryptography', 'quic', 's2n']",Release: v1.9.0,700
25,aws-toolkit-common,5,2,451,[],,8
26,aws-for-fluent-bit,7,7,297,[],AWS for Fluent Bit 2.28.0,301
27,graph-notebook,21,9,269,"['jupyter', 'graph', 'sparql', 'rdf', 'neptune', 'jupyter-notebook', 'apache', 'gremlin', 'tinkerpop', 'cypher', 'opencypher', 'jupyter-widgets']",Release 3.5.3,447
28,aws-sdk-java-v2,234,38,"9,601","['java', 'aws', 'amazon', 'aws-sdk']",,1521
29,aws-lambda-go,1,8,303,[],v1.34.1,3079
30,aws-glue-databrew-jupyter-extension,1,0,76,[],v1.0.5,20
31,constructs,2,0,"1,170",[],v10.1.87,253
32,constructs-go,1,0,588,[],constructs/v3.3.1,8
33,aws-sdk-go-v2,2,9,"1,744","['go', 'golang', 'aws', 'aws-sdk']",Release (2022-08-25),1568
34,aws-toolkit-jetbrains,45,20,"3,463","['aws', 'aws-lambda', 'jetbrains', 'sam', 'hacktoberfest', 'jetbrains-ides']",1.50,610
35,amazon-chime-sdk-android,30,1,386,[],v0.17.6,84
36,copilot-cli,4,6,"2,829","['devops', 'containers', 'developer-tools', 'infrastructure-as-code', 'aws-ecs', 'aws-fargate', 'cd-pipelines', 'aws-fargate-application', 'modern-applications', 'aws-apprunner']",copilot-cli: Release v1.21.0,2384
37,jsii,20,7,"2,720","['aws', 'node', 'typescript', 'cross-language']",v1.65.0,2035
38,smithy-go,3,4,932,"['golang', 'smithy']",Release (v1.12.1),74
39,aws-sdk-js,1,23,"5,389","['javascript', 'aws', 'aws-sdk']",Release v2.1203.0,7124
40,amazon-chime-sdk-ios,26,1,442,[],v0.22.2,112
41,aws-cdk-go,1,0,173,"['go', 'aws', 'infrastructure-as-code', 'aws-cdk']",,117
